2023/05/12 14:14:51.103 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:inputDirectoryCheck() 入力ディレクトリパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input
2023/05/12 14:14:51.106 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:outputFileCheck() 出力ファイルパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/output/result.csv
2023/05/12 14:14:51.110 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCounterSharedService:execStepCount() -- ステップカウント処理 開始 ---------------------------------------
2023/05/12 14:14:51.115 [main] WARN   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/12 14:14:51.120 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Mario.java
2023/05/12 14:14:51.123 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Luigi.java
2023/05/12 14:14:51.124 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Character.java
2023/05/12 14:14:51.128 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：HammerBros.java
2023/05/12 14:14:51.129 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：CharacterIf.java
2023/05/12 14:14:51.130 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Main.java
2023/05/12 14:14:51.133 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Constant.java
2023/05/12 14:14:51.139 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Mario.java
2023/05/12 14:14:51.139 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Luigi.java
2023/05/12 14:14:51.140 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/HammerBros.java
2023/05/12 14:14:51.140 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/CharacterIf.java
2023/05/12 14:14:51.140 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/constant/Constant.java
2023/05/12 14:14:51.140 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Character.java
2023/05/12 14:14:51.141 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/logic/Main.java
2023/05/12 14:14:51.141 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCounterSharedService:execStepCount() -- ステップカウント処理 終了 ---------------------------------------
2023/05/12 14:40:16.685 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:inputDirectoryCheck() 入力ディレクトリパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input
2023/05/12 14:40:16.689 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:outputFileCheck() 出力ファイルパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/output/result.csv
2023/05/12 14:40:16.693 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCounterSharedService:execStepCount() -- ステップカウント処理 開始 ---------------------------------------
2023/05/12 14:40:16.698 [main] WARN   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ファイルの拡張子が未対応。ステップカウント処理をスキップ。 ファイル名：.DS_Store
2023/05/12 14:40:16.702 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Mario.java
2023/05/12 14:40:16.706 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Luigi.java
2023/05/12 14:40:16.707 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Character.java
2023/05/12 14:40:16.710 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：HammerBros.java
2023/05/12 14:40:16.711 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：CharacterIf.java
2023/05/12 14:40:16.713 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Main.java
2023/05/12 14:40:16.715 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountExecutor:execStepCountInDirectory() ステップカウント処理開始。 ファイル名：Constant.java
2023/05/12 14:40:16.720 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Mario.java
2023/05/12 14:40:16.721 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Luigi.java
2023/05/12 14:40:16.721 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/HammerBros.java
2023/05/12 14:40:16.721 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/CharacterIf.java
2023/05/12 14:40:16.721 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/constant/Constant.java
2023/05/12 14:40:16.722 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/character/Character.java
2023/05/12 14:40:16.722 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCountCsvDao:save() ステップカウント結果出力開始。 ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input/logic/Main.java
2023/05/12 14:40:16.722 [main] INFO   co.jp.stepCounter.infrastructure.log.Log4J2 StepCounterSharedService:execStepCount() -- ステップカウント処理 終了 ---------------------------------------
2023/05/12 14:40:16.735 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:inputDirectoryCheck() 入力ディレクトリパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/input
2023/05/12 14:40:16.736 [main] DEBUG  co.jp.stepCounter.infrastructure.log.Log4J2 ValidatorUtil:outputFileCheck() 出力ファイルパスチェック ファイルパス：/Users/takashi.ebina/git/repository2/stepCounter/work/output/result.csv
